t,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033333,-0.20608,-0.201,0.23059,0.2335,0.38159,0.046708,0.17719,-0.1688,0.066875,-0.11538,0.041377,-0.01599,-0.22691,-0.012033,-0.17123,0.21581,0.10451,-0.14339,-0.035197,0.26598,0.091091,-0.1624,0.28331,-0.40702,-0.50331,0.22004,-0.07224,-0.072949,0.23359,-0.41526,-0.013331,-0.13884,0.11928,0.30723,0.042038,-0.30583,-0.27976,-0.13141,0.18635,0.049468,-0.10062,-0.28444,-0.0037028,0.0816,-0.071369,-0.1227,-0.35044,0.054953,-0.10389,-0.16155,0.4184,0.46334,0.21677,-0.39375,-0.032654,0.13465,0.15428,0.25006,0.1201,0.037905,-0.047991,-0.45979,-0.21171,0.22625,0.25929,-0.18507,-0.2971,0.051853,0.053454,0.13449,0.26902,0.11425,0.27118,-0.02673,0.22834,-0.026305,-0.03985,-0.48854,-0.22295,0.26937,0.088107,0.065458,0.21057,-0.13815,-0.35329,0.27186,0.10509,-0.3528,-0.39464,-0.016766,-0.2573,0.16883,0.16031,-0.27818,-0.050503,-0.19133,-0.11016,-0.013597,-0.18892,0.7095,0.32235,0.64436,-0.25756,-0.049438,-0.076619,-0.1923,-0.65933,0.050592,0.0036641,0.10733,0.28822,0.073649,0.39405,-0.1306,0.24193,0.10566,-0.068174,-0.23874,0.039996,0.50196,0.086629,0.31669,0.24187,-0.081697,-0.47063,0.42465,-0.30713,-0.25049,-0.13935,-0.56757,0.48194,-0.042683,-0.59965,-0.074747,0.02412,0.26449,-0.6479,0.31431,0.28357,0.16118,0.23085,0.42827,0.16724,-0.37078,0.16848,-0.035307,0.02478,-0.11856,-0.050678,0.0096637,-0.40056,0.30763,-0.36232,0.16734,0.32088,0.16754,-0.20846,0.14369,-0.024685,-0.21236,-0.7271,-0.16307,0.32669,-0.052837,0.10227,-0.17388,0.050108,-0.033037,0.11639,-0.082651,-0.44961,0.42388,0.018516,0.39937,0.42065,-0.32539,-0.043412,-0.0022509,0.15994,0.043232,0.11796,0.33194,-0.033066,0.10877,0.17637,-0.18409,0.0063939,-0.30459,-0.53455,0.10406,0.1836,0.1939,0.26441,-0.02903,0.011367,-0.093451,0.12743,0.37736,0.23622,0.081774
0.066667,0.40363,0.22766,-0.071676,0.51141,0.36233,0.15432,0.16389,-0.30742,-0.20618,-0.6869,0.24002,-0.40273,-0.032278,-0.055153,-0.14756,0.12994,0.39663,0.16106,0.1617,0.25583,0.30753,-0.49311,0.61976,-0.61289,-0.34603,-0.042156,-0.181,-0.19552,-0.0014255,-0.28062,0.027709,-0.15108,0.038026,0.2808,0.27758,-0.34341,0.0014631,0.0004575,0.48127,-0.38307,-0.23805,0.059286,-0.20819,0.24088,0.26612,-0.48569,-0.21838,-0.22857,-0.5149,-0.028785,0.24347,0.12689,0.047795,-0.015054,-0.2735,0.38334,0.44368,-0.0028193,-0.0488,-0.61338,-0.16378,-0.23971,-0.1589,0.064696,0.09282,0.089257,-0.63797,-0.051713,-0.11637,-0.10378,0.030468,-0.064757,0.030428,-0.028754,0.34224,0.13177,-0.34787,-0.5779,-0.21007,-0.0090918,0.11867,-0.15535,0.088229,-0.27903,-0.52576,0.26524,0.10624,-0.41672,-0.47939,-0.41805,-0.096201,0.2064,0.24013,-0.47917,-0.065519,-0.38998,-0.46464,0.16453,-0.30287,0.70773,0.22173,0.55063,-0.34894,0.14972,-0.08272,-0.10637,-0.55623,0.17225,0.30107,-0.31511,0.58678,-0.40559,0.16979,0.19107,0.070977,0.003611,-0.24188,0.064701,-0.22443,0.052033,0.40816,-0.021929,0.29561,-0.18948,-0.65137,0.36168,-0.1037,0.047414,0.26018,-0.35883,0.72732,0.45204,-0.79381,0.089467,0.25975,0.13184,-0.64036,0.013018,0.52231,0.035413,-0.41209,0.71922,0.42239,-0.49749,0.081978,-0.4965,0.34623,0.053711,-0.12913,-0.40186,-0.69662,0.69553,-0.39265,0.36196,0.54349,0.0051245,-0.32187,0.18513,0.12403,-0.81728,-0.89268,-0.15797,0.077851,-0.087204,0.36269,0.37628,0.16238,-0.045566,0.38195,-0.52082,-0.39119,0.70758,-0.038445,0.50569,0.14156,-0.44836,0.087873,-0.26443,-0.14274,-0.16621,-0.39156,0.33691,-0.21511,0.13649,0.05379,0.15949,-0.066357,-0.49267,-0.44193,-0.0086074,0.087922,-0.11169,-0.19842,-0.13242,0.2278,-0.22657,0.026205,0.18493,0.025101,-0.18678
0.1,0.73032,0.27732,-0.24301,0.35566,-0.1485,0.47956,0.12477,-0.54321,0.37385,-0.50276,0.50786,-0.5026,-0.091091,-0.22839,-0.17283,0.38555,0.8411,0.32559,0.091835,-0.037597,0.2854,-0.33229,0.20935,-1.0559,-0.6671,0.21947,-0.43003,-0.48048,0.40971,-0.32205,0.24195,0.0058549,0.23181,0.51994,0.38638,-0.52331,0.25608,0.10468,0.38888,-0.50324,-0.15691,-0.1135,0.038363,-0.019449,0.28261,-0.75065,-0.57441,-0.33697,-0.047269,0.0065794,0.39762,0.573,-0.12725,-0.27958,-0.38947,0.43093,0.39618,-0.054524,0.10415,-0.083744,-0.30197,-0.36817,0.042167,-0.15514,0.3628,0.26279,-0.89706,-0.03388,-0.27262,-0.033588,0.1367,-0.41041,0.39329,0.48602,-0.11401,0.023295,-0.42132,-0.33425,0.19237,-0.25057,0.31153,-0.45922,0.070454,-0.17084,-0.42661,0.39443,0.1026,-0.3898,-0.25739,-0.23536,0.12585,-0.095035,-0.17455,-0.33298,0.019249,-0.36838,-0.059339,0.45655,-0.64871,0.66632,-0.092236,0.34389,-0.25762,0.30385,-0.018716,-0.050082,0.13765,0.10003,0.52784,-0.23042,1.0923,-0.55718,0.3465,-0.32363,-0.28561,-0.22677,-0.3268,0.23019,-0.22296,0.39118,0.08066,-0.40269,0.306,-0.14288,-0.59831,0.42737,-0.26062,0.05026,-0.017842,-0.54112,0.91546,0.35935,-0.75818,0.01603,-0.04274,-0.033296,-0.52224,0.00025154,0.60938,-0.10826,-0.21105,0.69747,0.40053,-0.6133,0.36432,-0.70698,0.76525,0.19824,-0.22781,-0.46551,-0.73446,0.81231,-0.19528,0.29413,0.80554,0.52491,-0.35017,0.3354,-0.030317,-0.62718,-1.2156,-0.45152,-0.050771,0.26779,0.3714,0.46108,0.35414,0.0015938,0.3479,-0.55328,-0.52118,0.91793,0.42396,0.31964,-0.093603,-0.3107,-0.37992,0.27875,-0.40905,-0.38182,-0.5391,0.017583,-0.19245,-0.14988,0.45171,0.090692,-0.0084501,-0.7678,-0.53939,-0.11472,-0.22296,-0.14576,-0.1392,-0.19242,0.34644,-0.35052,0.21477,0.52189,0.18131,0.084366
0.13333,0.66101,0.40023,-0.53742,0.17883,-0.35128,0.35881,0.28202,-0.87144,0.75045,-0.27795,0.99973,-0.47158,0.02453,0.15871,-0.14379,0.32868,0.6603,0.20561,0.29101,-0.025709,0.32108,-0.68541,0.2561,-0.57545,-0.47407,0.46236,-0.43689,-0.91907,-0.18734,-0.14665,-0.0096209,0.1184,0.42507,0.67222,0.65071,-0.2151,0.18266,0.32727,0.86895,-1.2652,-0.47636,0.16089,-0.072286,-0.29255,0.39079,-0.70235,0.013664,-0.44763,0.083956,-0.42486,0.2217,0.3057,0.2162,-0.25039,-0.5145,0.16755,0.57,-0.51015,0.3876,-0.022271,-0.31617,-0.71521,-0.55572,-0.086928,-0.18269,0.25506,-0.91286,-0.02745,-0.26124,-0.20356,0.096028,-0.47261,0.59391,0.35494,-0.40867,-0.3045,-0.77199,-0.075437,0.012142,-0.3697,0.13832,-0.58733,-0.13537,0.068061,-0.53694,0.62493,-0.028074,-0.45773,-0.08909,0.18408,0.37569,0.26104,-0.19429,-0.50904,0.086223,-0.657,0.18761,0.1083,-0.56714,0.6206,-0.090431,0.75972,-0.09094,0.31977,0.24866,0.018823,0.19731,0.22971,0.41282,-0.19382,0.89539,-1.0629,0.13163,-0.49681,-0.055693,-0.3264,-0.071317,0.43403,-0.34273,0.15564,-0.02199,-0.71244,0.61808,-0.017646,-0.60793,0.93843,-0.20035,0.33941,-0.14818,-0.64985,0.74677,-0.064357,-0.89877,-0.16904,-0.096037,-0.14577,-0.20836,-0.16134,0.43333,0.32378,-0.28432,0.72973,0.76709,-0.68768,0.7588,-0.75515,0.98419,-0.16888,-0.23195,-0.26138,-0.91004,0.52042,-0.15104,0.33029,0.40207,0.17636,-0.068503,0.48362,-0.012314,-0.50538,-1.0211,-0.34814,0.25123,0.39063,-0.15921,0.36186,0.50149,-0.15594,0.068421,-0.19862,-0.30743,0.78697,0.14916,0.77751,0.075147,-0.36275,-0.71232,0.51309,0.018004,-0.51449,-0.47892,0.19351,-0.79787,-0.027736,0.49562,-0.00092548,0.48495,-0.64113,-0.10633,0.34842,-0.21988,-0.4925,0.13111,-0.16414,0.35287,0.16844,0.37351,0.3814,0.70035,0.18494
0.16667,0.70903,0.28813,-0.3544,-0.50503,-0.39983,0.4682,0.13565,-1.2532,0.91635,-0.57526,0.90984,-0.43328,-0.1341,0.39762,-0.32751,0.65247,0.51715,0.13249,0.07258,-0.21206,0.54074,-1.0237,0.6922,-0.88552,-0.66629,0.68228,-0.16138,-0.4929,-0.082657,-0.22292,-0.35291,0.13292,0.59755,0.76903,1.1354,0.39065,0.29122,0.62658,1.0854,-1.3204,-1.0525,0.064965,-0.61578,-0.43082,0.52676,-0.75564,0.36196,-1.2321,0.31193,-0.79987,0.77713,0.31219,0.21959,0.096491,-0.83001,-0.21974,0.77239,0.12164,0.62865,0.12046,-0.18625,-0.79293,-0.60109,-0.040425,0.42936,-0.18361,-0.80827,0.055583,-0.5352,-0.1193,0.14942,-0.67069,0.57938,0.027334,-0.62228,-0.24049,-0.63513,-0.3486,-0.4876,-0.5272,-0.11269,-0.45442,0.062312,-0.0010547,-0.89523,0.55071,-0.033432,-0.46434,-0.14201,-0.033868,1.1416,0.28671,-0.074461,-0.49813,0.43609,-0.62933,0.25525,0.51697,-0.98315,0.59835,-0.26833,0.73009,-0.11015,0.22785,0.44011,-0.16004,-0.042231,0.6931,0.77477,0.10268,1.556,-0.56986,0.0059177,-0.276,0.096508,-0.32818,0.26512,0.70277,-0.057792,-0.13568,0.10129,-1.0436,0.52328,-0.12978,-0.5846,0.77405,0.2755,0.044454,-0.038477,-0.46286,0.62024,0.029316,-0.86768,-0.59629,-0.12884,0.38051,-0.46591,-0.52651,0.46259,0.18952,0.15626,0.60831,0.36515,-0.58085,0.62985,-1.2775,1.1382,-0.18984,-0.23192,-0.52189,-0.71735,0.49888,0.037661,0.03561,0.91274,0.061463,-0.052873,0.28444,-0.67595,0.17931,-1.0024,-0.61274,0.24552,0.28709,-0.074553,0.16049,0.33507,-0.32148,-0.21105,-0.44042,-0.33655,1.0626,-0.314,0.95275,0.50174,-0.51854,-0.57962,0.46044,-0.65289,-0.42961,-0.72817,0.011764,-1.127,-0.011967,0.64912,-0.27758,0.42644,-0.77357,0.076084,0.47593,-0.29221,-0.42449,-0.02816,-0.070075,0.11461,0.32299,0.27384,0.36946,0.92149,0.1931
0.2,0.59117,0.32065,-0.28825,-0.42026,-0.54259,0.22985,0.37836,-1.3562,0.98041,-1.0681,0.93637,-0.055858,-0.22766,0.37635,-0.11467,0.98566,0.54855,0.45166,0.058613,-0.55263,0.46083,-0.95201,0.72578,-0.88895,-0.67544,0.82879,-0.19098,-1.035,-0.12359,-0.36705,-0.17507,-0.0016588,0.14029,0.60879,1.1412,0.82703,0.3641,0.69598,1.2509,-0.96766,-0.48296,-0.033482,-1.0837,-0.452,0.47202,-0.85196,-0.092102,-1.6123,0.21724,-1.0618,1.164,0.68594,0.59109,0.30371,-0.56589,0.13988,0.33847,0.68112,0.56348,-0.07427,-0.19178,-0.76436,-0.70692,0.038103,0.024591,-0.24489,-0.52202,-0.036873,-0.46704,-0.27651,-0.028027,-0.74098,0.98455,0.0070373,-0.41847,-0.36985,-0.65381,-0.69664,-0.41112,-0.18298,-0.27216,-0.16479,0.025199,0.31579,-1.0009,0.78621,-0.28029,-0.65474,-0.19358,0.19631,1.1588,0.17104,-0.038073,-0.90296,0.41114,-0.50422,0.67156,0.50975,-1.0533,0.75445,-0.16025,1.1802,-0.22796,0.7225,0.45932,0.05977,-0.059979,0.61956,0.53968,-0.35913,1.6451,-0.52507,0.42624,-0.19478,-0.086982,-0.23275,0.6884,0.60183,-0.36075,-0.10564,-0.22649,-0.94368,0.26779,-0.44446,-0.67567,0.8506,0.36083,-0.0805,-0.52547,-0.34331,0.79348,0.27577,-0.439,-0.33908,0.31216,-0.15787,-0.97638,-0.88668,0.089598,0.37525,0.55704,0.44311,0.38738,-0.3719,0.57728,-1.3766,0.83156,-0.080635,-0.11062,-0.95043,-0.90675,0.59132,0.0078665,-0.0059385,1.0144,-0.056728,0.0041701,0.19065,-0.59455,0.33861,-0.96662,-0.38254,-0.35038,0.51304,0.074799,0.20928,0.23468,-0.054347,0.51695,-0.34685,-0.045518,0.95119,-0.78849,1.0432,0.396,-0.45254,-0.5939,0.11936,-0.61245,-0.34118,-0.84142,0.14505,-0.97952,-0.5343,0.55587,-0.69293,0.5821,-0.64872,-0.057397,0.20095,0.063258,-0.71993,-0.12507,0.18651,-0.011784,0.77773,0.12012,0.35547,0.60612,0.37662
0.23333,0.43996,0.060523,-0.58762,-0.50839,-0.54528,0.46589,0.17054,-1.6467,1.08,-1.1939,1.1907,-0.071421,0.039974,0.517,-0.25571,1.4585,0.52573,0.38063,0.016161,-0.16993,0.44609,-0.6866,0.76449,-0.45209,-0.97542,0.90844,0.17265,-0.89988,-0.076615,-0.28091,0.24363,-0.40834,0.18317,0.75782,1.3423,1.1437,-0.44206,0.96434,1.2853,-1.2203,0.010421,0.052988,-0.91011,-0.23435,0.079788,-1.2369,0.1277,-1.4147,0.36857,-1.1425,1.3091,0.71416,0.7811,0.28714,-0.26951,0.0010002,0.020628,0.74994,0.23349,-0.20159,-0.051434,-0.9837,-0.46131,-0.12296,-0.068419,-0.41593,-0.83471,-0.25069,-0.5602,-0.61214,0.53697,-0.12006,0.77356,0.0075337,-0.57618,-0.65166,-1.1367,-0.39672,-0.33498,-0.21716,-0.22048,-0.5332,-0.31933,0.22545,-0.78027,0.55789,-0.33635,-0.75393,-0.59622,0.26384,1.3842,0.24373,-0.19142,-0.9667,0.6785,-0.66751,0.59942,0.36059,-1.7221,0.6569,-0.056876,1.0081,-0.19265,0.88546,0.57778,-0.2545,-0.3941,1.0105,0.13644,-0.26592,1.5023,-0.9846,0.6849,-0.47556,0.10729,0.15453,0.55322,0.72788,-0.23072,-0.49723,-0.59434,-0.9348,0.81133,-0.62304,-0.81274,0.60442,0.54788,-0.62004,-0.62993,-0.4364,0.7734,-0.26249,-0.32351,-0.45595,0.75809,0.042374,-0.73412,-0.86823,0.13406,0.60081,0.56199,1.0207,0.53683,-0.25633,0.77968,-1.5184,0.73028,0.42171,0.034463,-1.0365,-0.95174,0.68586,-0.048595,-0.2199,0.75429,-0.054239,0.002205,0.13639,-0.15281,-0.032921,-0.97378,-0.31995,-0.28069,0.48776,0.40153,0.31738,0.49423,0.087884,0.73261,-0.012911,0.0087451,0.98453,-0.68895,1.1151,0.28067,-0.70568,-0.68381,-0.1169,-1.0027,-0.030843,-0.67513,-0.22478,-0.90376,-0.5944,0.62941,-0.33123,0.30078,-0.87806,-0.25657,0.59282,0.35201,-0.90958,-0.16956,0.18457,0.029029,0.98305,0.040378,0.080177,0.69241,0.60693
0.26667,0.25228,0.11438,-0.56601,-1.0082,-0.69355,0.32592,0.37268,-1.6616,1.2715,-1.2201,0.6218,-0.24626,-0.21259,0.44865,-0.038092,1.6215,0.092238,0.17934,0.25299,-0.46097,0.79079,-0.58323,0.48597,-0.51812,-0.72614,0.77758,0.044016,-1.0679,-0.46112,-0.2079,0.41939,-0.19367,0.51959,0.56992,1.4559,1.0393,-0.44832,0.74691,1.3651,-0.98038,0.1232,0.20274,-0.65085,-0.30936,0.29168,-1.3489,0.15881,-1.4171,0.25263,-0.84971,1.1149,0.60184,0.78523,0.50515,-0.50993,-0.05456,-0.034786,0.87644,0.53145,0.3064,0.17247,-0.67337,-0.64766,0.032209,-0.17429,-0.171,-0.99497,-0.3092,-0.54961,-0.52412,0.16588,-0.11775,0.57101,0.24322,-0.38076,-1.2184,-1.3944,0.1699,-0.055732,-0.20723,-0.62419,-0.7295,-0.3356,0.61812,-0.92481,0.67448,-0.66124,-0.52843,-0.86249,0.24293,1.3989,0.2167,-0.42198,-1.3668,0.80374,-0.57776,0.57414,-0.036273,-1.699,0.64895,0.22156,1.0786,-0.36064,1.114,-0.015116,-0.076929,-0.17635,0.95247,-0.23987,-0.30437,0.9838,-1.2728,1.1131,-0.51388,0.022622,0.33832,0.77235,0.62875,-0.21555,-0.35259,-0.38425,-1.5974,0.75329,-0.92117,-0.54473,0.73691,0.31231,-0.22701,-0.83771,0.01221,0.74858,-0.31514,-0.54751,-0.53539,0.80708,-0.016113,-0.49152,-0.84404,-0.15119,0.31935,0.4823,1.0668,0.6338,-0.30591,0.69309,-1.6166,1.1898,0.50237,0.027908,-1.0223,-1.188,0.32493,-0.13751,-0.053306,0.59478,-0.027197,-0.039732,0.40628,0.085908,0.37712,-0.9871,-0.3393,-0.31496,0.72007,0.083219,1.1108,0.45891,0.24346,0.50357,0.14919,0.64912,1.2643,-0.72233,1.0279,-0.09958,-0.73074,-0.62509,-0.12206,-0.76559,-0.11578,-0.94082,-0.2754,-0.81855,-1.2923,0.82892,-0.49775,0.16238,-0.86186,-0.29393,0.37824,0.26596,-0.56687,-0.021644,0.14818,0.12353,1.1689,-0.011227,0.028186,0.74139,0.35284
0.3,0.55613,0.075948,-0.56153,-0.8169,-0.23174,0.36495,-0.15999,-1.4245,1.3674,-0.75293,0.5674,-0.13696,-0.13707,0.32696,0.25056,1.7033,0.56853,-0.24689,0.42442,-0.504,1.0408,-0.54293,0.31236,-0.99641,-0.68681,0.88945,-0.053917,-0.79872,-0.39377,0.071618,0.94569,-0.39803,0.39246,0.48171,1.2578,1.2511,-0.61351,0.85293,1.2746,-1.1429,0.020794,0.23834,-0.5042,-0.17576,0.34884,-1.3679,0.17581,-1.5444,0.19374,-0.80033,1.2253,0.46529,0.40807,0.77893,-0.22043,0.14279,-0.099798,0.76175,0.83017,-0.057616,0.040408,-0.5709,-0.6031,0.1015,0.19726,-0.44295,-0.74491,-0.41923,-0.72454,-0.45074,0.1023,-0.15278,0.28297,0.075331,-0.66623,-1.2886,-1.1769,0.37605,-0.10083,-0.49225,-0.64366,-0.67195,-0.40557,0.50632,-0.92048,1.1679,-0.52444,-0.45137,-0.718,0.68192,1.3705,0.42388,-0.41852,-0.56896,0.79551,-0.43028,0.40346,-0.082173,-1.6515,0.5041,0.43473,1.0627,-1.0148,0.88331,-0.046422,0.17182,0.17651,1.026,-0.12402,-0.24709,0.56205,-1.0402,1.3667,-0.37351,0.045756,0.62302,0.63452,0.45153,-0.20163,-0.41223,-0.54751,-1.4236,0.72517,-0.7505,-0.45551,0.72686,-0.018961,0.17351,-0.83959,0.01187,0.85818,-0.43452,-0.68474,-0.59257,0.40314,0.0036739,-0.28867,-0.80185,-0.38772,0.56279,0.16193,1.4434,0.70529,-0.62548,0.54223,-1.4837,1.4252,0.36026,0.0031936,-1.4574,-1.2962,0.48621,-0.22384,0.10257,0.42612,-0.092356,0.077984,0.82041,0.38228,0.68809,-0.94959,-0.46693,-0.73641,0.9576,-0.70029,1.101,0.12582,-0.076735,0.46063,0.16691,1.0985,1.7448,-0.51124,1.0067,-0.24549,-0.65019,-0.57829,-0.55073,-0.7721,-0.065697,-1.4143,-0.24435,-0.97546,-1.6453,0.78146,-0.44866,0.42462,-0.85333,0.36149,0.56109,0.3428,-0.12666,-0.3416,-0.15946,0.45295,1.747,0.13733,0.10684,0.32472,0.53777
